ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
BRSR6,SMALL11,Financial Services,65.12,49.79,84.94,,84.56,26,Pivô de alta,2,6,False,False,False,False,,False,,True,True,True,5881052672.0,3.71,0.52,11.03,10.15,13.99,0.0,22.75,,,,,14.380000114440918,10.43,15.19,40.31,49.11,,12.81,12.81,11.53,2.0,-19.84,-10.94,n/d,2026-06-15,última,"A análise fundamentalista do Banrisul (BRSR6) revela um clássico caso de distorção entre preço e qualidade, onde o papel é negociado a múltiplos extremamente descontados, com um P/L de 3,71 e um P/VP de 0,52, enquanto seus indicadores de eficiência operam abaixo dos pares do setor de serviços financeiros. Essa compressão de valuation convive com um ROE de 14,0% e um ROIC de 0,0%, ambos abaixo das médias setoriais de 19,7% e 5,4%, respectivamente, sugerindo que o mercado precifica uma rentabilidade inferior e uma visível dificuldade de alocação de capital. A sustentabilidade do expressivo dividendo distribuído, traduzido em um dividend yield de 11,03%, é amparada por uma robusta margem líquida de 22,75%, embora o crescimento de longo prazo acenda um alerta, dado que o CAGR de receita nos últimos cinco anos contraiu 8,3%, na contramão da expansão média de 6,8% observada no setor. No checklist de critérios qualitativos, o banco atendeu a apenas 2 de 6 requisitos aplicáveis, falhando em superar as médias setoriais e a taxa Selic em termos de retorno, mas garantindo pontos positivos em tamanho de mercado e na ausência de vendas recentes por parte de insiders. Sob a ótica do valuation, as metodologias de preço-teto apresentam uma dispersão brutal, variando desde os conservadores R$ 10,43 pelo método de Bazin até os otimistas R$ 49,11 por Graham e R$ 40,31 por fluxo de caixa descontado, o que resulta em uma média e mediana de R$ 12,81. Quando ajustado pela margem de segurança, o preço-teto de referência cai para R$ 11,53, o que projeta um upside negativo de 19,8% em relação à cotação atual de R$ 14,38, apesar de o papel demonstrar força técnica recente ao registrar um pivô de alta e tendência de alta no mercado. Como balanço final, o investimento em BRSR6 coloca em lados opostos o forte apelo de geração de renda passiva via dividendos e o valuation excessivamente barato como principais prós, contrapondo-se, no lado dos contras, à perda de eficiência frente aos concorrentes, ao encolhimento histórico de suas receitas e à ausência de margem de segurança em relação ao preço-teto ajustado.",Pivô de alta,Em Alta,14.470000267028809,-0.6219775461439592,-22.787680229876315,True,True,True,Pivô de alta
EZTC3,SMALL11,Real Estate,64.97,54.05,56.15,93.13,79.87,27,Não,3,7,False,False,False,False,True,True,,True,False,True,3117515520.0,5.56,0.61,10.22,5.5,10.89,5.88,37.12,,8.52,0.33,0.2,11.239999771118164,4.41,8.19,26.79,28.95,60.65,38.79,28.95,26.06,3.0,131.81,245.15,2026-08-06,2026-05-15,última,,,Em Baixa,12.729999542236328,-11.70463334405124,-32.25406537556344,True,False,False,sem sinal (Em Baixa; sem novo topo (-11.7%))
CEAB3,BOVA11+SMALL11,Consumer Cyclical,64.29,62.18,80.7,54.48,52.35,28,Não,4,7,False,True,True,True,False,False,,True,False,True,2802122496.0,5.12,0.76,5.58,6.49,14.79,14.93,7.32,,1.67,0.74,,9.34000015258789,4.33,6.3,18.97,22.46,,15.91,18.97,17.07,3.0,82.81,70.35,n/d,2025-12-26,última,,,Em Baixa,10.479999542236328,-10.877857246596534,-48.32374123146461,True,False,False,sem sinal (Em Baixa; sem novo topo (-10.9%))
AZZA3,BOVA11+SMALL11,Consumer Cyclical,64.28,40.97,85.85,76.26,91.28,29,Não,2,7,False,False,True,False,False,False,,True,False,True,3226727168.0,3.96,0.41,15.51,3.53,10.39,7.75,7.17,,2.2,0.49,,15.960000038146973,4.02,5.86,41.92,59.41,,50.66,50.66,45.6,2.0,185.7,217.45,2026-08-12,2025-12-22,última,,,Em Baixa,18.850000381469727,-15.331566497811512,-54.36595303857709,True,False,False,sem sinal (Em Baixa; sem novo topo (-15.3%))
TEND3,SMALL11,Real Estate,64.0,79.39,53.3,54.25,40.94,30,Não,5,7,False,True,True,True,False,True,,True,False,True,4098060288.0,7.08,2.66,3.69,3.86,37.61,14.39,13.44,,2.0,1.07,0.06,33.45000076293945,9.22,17.1,62.6,36.56,141.74,38.75,36.56,32.91,3.0,-1.63,15.85,2026-11-04,2025-12-26,última,,,Em Baixa,34.599998474121094,-3.3236929534600335,-11.834470285427646,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.3%))
ISAE4,BOVA11,Utilities,63.38,62.11,53.65,80.21,59.73,31,Não,3,7,False,False,False,False,True,False,,True,True,True,18320019456.0,6.67,0.85,6.49,8.9,12.71,9.63,24.64,,4.0,0.75,,26.709999084472656,16.99,24.73,41.65,53.21,,34.14,33.19,29.87,4.0,11.83,27.83,n/d,2026-04-20,última,,,Em Baixa,29.25,-8.683763813768696,-16.646133604979106,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.7%))
KEPL3,SMALL11,Industrials,63.12,67.5,46.98,72.95,64.09,32,Não,5,7,False,True,True,True,False,False,,True,True,True,1091523200.0,7.66,1.43,6.87,16.5,18.67,13.9,10.19,,2.02,0.42,,6.300000190734863,7.42,10.81,8.55,9.03,,8.95,8.79,7.91,4.0,25.59,42.14,n/d,2025-12-16,última,,,Em Baixa,6.550000190734863,-3.8167937819853948,-39.999998183477494,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.8%))
LEVE3,SMALL11,Consumer Cyclical,62.97,86.0,45.46,26.61,75.84,33,Não,6,7,False,True,True,True,False,True,,True,True,True,4391463936.0,6.61,4.1,8.8,19.55,62.01,33.17,12.31,,1.37,1.44,0.19,32.400001525878906,45.24,83.92,64.95,29.52,147.05,74.14,64.95,58.45,5.0,80.41,128.82,n/d,2026-04-30,última,,,Em Baixa,32.47999954223633,-0.24629931491653156,-10.521948784659118,True,False,False,sem sinal (Em Baixa; sem novo topo (-0.2%))
MULT3,BOVA11+SMALL11,Real Estate,62.76,87.53,35.39,51.46,42.28,34,Não,6,7,False,True,True,True,True,True,,True,False,True,14093037568.0,10.62,2.18,3.91,3.71,20.52,18.7,43.42,,1.64,0.75,0.17,28.700000762939453,7.6,14.09,35.81,28.29,81.07,26.06,28.29,25.46,3.0,-11.28,-9.19,2026-10-29,2026-07-01,última,,,Em Baixa,29.739999771118164,-3.4969704646356514,-18.646555120432428,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.5%))
PSSA3,BOVA11,Financial Services,61.76,77.11,37.63,,53.02,35,Não,5,6,False,True,True,True,,True,,True,False,True,34280269824.0,9.39,2.23,5.63,5.33,23.7,77.55,8.31,,,,0.26,53.47999954223633,20.37,37.79,75.46,55.44,170.86,44.54,37.79,34.01,3.0,-36.4,-16.71,2026-08-07,2026-06-23,última,,,Em Alta,55.45000076293945,-3.552752377994184,-3.726372139071432,True,False,False,sem sinal (Em Alta; sem novo topo (-3.6%))
ALPA4,SMALL11,Consumer Cyclical,61.59,72.41,27.96,65.13,89.93,36,Não,5,7,False,True,True,True,False,True,,True,False,True,8449279488.0,13.72,2.46,14.43,8.77,17.9,17.0,13.17,,1.73,0.41,0.31,12.4399995803833,7.79,14.46,12.01,10.16,27.2,14.32,12.01,10.81,5.0,-13.08,15.15,n/d,2025-12-17,última,,,Lateral,12.479999542236328,-0.32051252660429963,-23.304561609068543,True,False,False,sem sinal (Lateral; sem novo topo (-0.3%))
SEER3,SMALL11,Consumer Defensive,60.79,69.07,70.98,38.34,42.95,37,Não,4,7,False,True,True,True,False,False,,True,False,True,1560813312.0,6.36,1.11,3.92,2.4,17.4,16.63,10.92,,1.56,1.16,0.09,12.1899995803833,2.09,3.88,25.4,21.76,57.5,23.58,23.58,21.22,2.0,74.09,93.43,n/d,2026-04-07,última,,,Em Alta,12.350000381469727,-1.2955530052168651,-13.729656888501573,True,False,False,sem sinal (Em Alta; sem novo topo (-1.3%))
TFCO4,SMALL11,Consumer Cyclical,60.59,82.21,13.94,86.8,27.52,38,Não,5,7,False,True,True,True,False,True,,True,False,True,2274845696.0,15.99,3.9,2.13,1.72,24.42,25.98,13.23,,2.83,0.3,,14.989999771118164,1.84,2.68,9.75,9.0,,7.15,9.0,8.1,3.0,-45.94,-52.33,n/d,2026-06-29,última,,,Em Baixa,15.130000114440918,-0.9253162079564725,-17.5370379978705,True,False,False,sem sinal (Em Baixa; sem novo topo (-0.9%))
IGTI11,BOVA11+SMALL11,Real Estate,60.24,73.71,41.1,73.06,21.81,39,Não,3,6,False,False,False,True,True,True,,,False,True,,11.61,1.5,1.18,2.45,12.93,12.16,46.59,,2.82,0.81,0.1,24.989999771118164,4.37,8.12,28.52,28.41,64.57,40.5,28.52,25.67,3.0,2.71,62.06,n/d,2026-10-16,próxima,,,Em Baixa,26.541290283203125,-5.844819507764132,-17.867908456064864,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.8%))
ITSA4,BOVA11,Industrials,59.95,61.8,26.77,87.64,79.19,40,Não,4,7,False,True,True,False,True,False,,True,False,True,153876905984.0,9.07,1.71,9.53,9.4,18.83,0.36,203.02,,2.38,0.13,0.81,13.729999542236328,9.22,17.1,20.06,16.54,31.18,18.82,17.1,15.39,5.0,12.06,37.05,n/d,2026-09-01,próxima,,,Em Alta,13.930000305175781,-1.4357556249667947,-8.772580978261113,True,False,False,sem sinal (Em Alta; sem novo topo (-1.4%))
CMIN3,BOVA11,Basic Materials,59.62,82.43,29.09,29.65,93.29,41,Não,5,7,False,True,True,True,False,False,,True,True,True,31874369536.0,14.38,4.53,18.46,16.62,31.49,21.67,12.51,,1.37,1.31,,5.900000095367432,7.0,10.2,4.27,3.47,,6.23,5.64,5.07,4.0,-14.03,5.67,n/d,2026-04-17,última,,,Em Alta,5.980000019073486,-1.3377913620550408,-7.419964643397659,True,False,False,sem sinal (Em Alta; sem novo topo (-1.3%))
TAEE11,BOVA11+SMALL11,Utilities,59.19,74.8,31.62,51.41,73.49,42,Não,7,7,True,True,True,True,True,True,,True,True,True,41402011648.0,8.8,1.73,8.18,10.68,19.7,10.69,33.52,,2.29,1.49,,40.060001373291016,30.57,44.5,47.34,48.7,,42.78,45.92,41.33,4.0,3.17,6.79,n/d,2026-05-12,última,,,Em Baixa,41.59000015258789,-3.6787659862551614,-10.010407702701297,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.7%))
BBDC3,BOVA11,Financial Services,58.92,52.02,64.04,,77.18,43,Não,2,6,False,True,False,False,,False,,True,False,True,178725486592.0,6.74,0.95,8.98,8.71,14.13,0.0,25.36,,,,,15.75,9.8,14.26,24.3,29.52,,16.12,14.26,12.84,3.0,-18.5,2.35,2026-11-04,2026-09-02,próxima,,,Em Alta,16.50238800048828,-4.559267425211544,-13.411934676208514,True,False,False,sem sinal (Em Alta; sem novo topo (-4.6%))
HYPE3,BOVA11+SMALL11,Healthcare,58.3,61.68,49.57,67.26,46.98,44,Não,3,7,False,False,True,False,True,False,,True,False,True,15107673088.0,8.98,1.07,4.9,3.87,11.91,10.63,19.49,,1.96,0.62,0.1,21.459999084472656,5.93,11.0,31.66,32.84,71.69,45.4,32.84,29.56,3.0,37.72,111.55,2026-08-06,2026-06-29,última,,,Lateral,21.649999618530273,-0.877600634666964,-19.938991602235422,True,False,False,sem sinal (Lateral; sem novo topo (-0.9%))
GMAT3,SMALL11,Consumer Cyclical,58.22,53.91,73.73,60.18,34.9,45,Não,3,7,False,True,True,False,False,False,,True,False,True,8958620672.0,5.18,0.82,3.06,3.24,15.83,10.88,4.49,,1.71,0.56,,3.890000104904175,0.9,1.31,7.81,8.95,,8.38,8.38,7.54,2.0,93.92,115.46,n/d,2025-11-21,última,,,Lateral,3.9800000190734863,-2.2613043652764286,-48.71330110836315,True,False,False,sem sinal (Lateral; sem novo topo (-2.3%))
MDIA3,SMALL11,Consumer Defensive,57.46,39.54,65.43,88.37,56.38,46,Não,1,7,False,False,False,False,False,False,,True,False,True,5899356160.0,8.55,0.71,6.01,3.22,8.33,9.09,6.67,,2.65,0.21,0.16,17.579999923706055,4.04,7.5,27.24,33.85,61.68,40.92,33.85,30.46,3.0,73.27,132.79,2026-08-13,2026-08-24,próxima,,,Em Baixa,18.008699417114258,-2.380513347903379,-39.31213655317477,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.4%))
SANB11,BOVA11,Financial Services,57.45,54.02,58.97,,69.13,47,Não,3,6,False,True,False,False,,True,,True,False,True,158410178560.0,7.13,1.12,7.83,7.32,15.69,0.0,28.66,,,,0.14,29.479999542236328,15.41,28.59,54.78,49.48,124.04,32.93,28.59,25.73,3.0,-12.73,11.69,n/d,2026-07-22,última,,,Lateral,29.100000381469727,1.3058390233169126,-19.142229204613038,True,False,False,sem sinal (Lateral; sem novo topo (+1.3%))
WEGE3,BOVA11,Industrials,57.13,86.66,4.18,62.95,44.97,48,Não,5,7,False,True,True,True,True,False,,True,False,True,204756484096.0,32.75,10.86,4.11,2.33,33.16,24.33,15.58,,1.59,0.29,,48.79999923706055,8.12,11.83,15.5,12.27,,11.93,12.05,10.85,4.0,-77.78,-75.55,2026-10-21,2026-06-22,última,,,Lateral,49.16999816894531,-0.7524892122498517,-10.104735169185375,True,False,False,sem sinal (Lateral; sem novo topo (-0.8%))
BBSE3,BOVA11,Financial Services,57.08,68.46,25.33,,85.23,49,Não,4,6,False,True,True,False,,False,,True,True,True,80891822080.0,8.8,7.43,11.21,11.12,84.38,0.0,87.93,,,,,41.66999816894531,33.1,48.2,49.25,24.44,,43.52,48.2,43.38,3.0,4.1,4.43,2026-11-03,2026-08-07,próxima,,,Em Alta,42.58000183105469,-2.137162101871226,-2.7310970575986304,True,False,False,sem sinal (Em Alta; sem novo topo (-2.1%))
FESA4,SMALL11,Basic Materials,56.99,29.38,65.56,93.61,86.58,50,Não,1,7,False,False,False,False,False,False,,True,False,True,2019650816.0,13.02,0.64,11.78,8.28,4.93,4.41,7.06,,3.27,0.12,,5.960000038146973,3.52,5.13,4.76,9.79,,5.8,4.95,4.45,4.0,-25.31,-2.64,n/d,2025-11-06,última,,,Lateral,6.159999847412109,-3.24675023083254,-33.033704566257114,True,False,False,sem sinal (Lateral; sem novo topo (-3.2%))
SUZB3,BOVA11,Basic Materials,56.86,65.85,59.32,54.28,15.44,51,Não,5,7,False,True,True,False,True,False,,True,True,True,52885413888.0,4.76,1.13,0.01,3.06,23.68,6.83,22.96,,3.52,2.02,,42.84000015258789,9.37,13.65,93.6,87.62,,90.61,90.61,81.55,2.0,90.36,111.51,2026-08-12,2026-04-30,última,,,Em Alta,43.099998474121094,-0.6032443868630666,-28.173764207281327,True,False,False,sem sinal (Em Alta; sem novo topo (-0.6%))
